E415_C6065_PTCTRL/LPHD1$ST$PhyHealth$stVal,1:정상3:비정상
E415_C6065_PTCTRL/COMMGGIO2$ST$Ind1$stVal,0:비정상1:정상
E415_C6065_PTCTRL/COMMGGIO2$ST$Ind2$stVal,0:비정상1:정상
E415_C6065_PTCTRL/Q91XSWI4$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6065_PTCTRL/Q92XSWI5$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6065_PTCTRL/B1PTSIMG11$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B1PTSIMG13$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B2PTSIMG12$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B2PTSIMG14$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B1SIMG17$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B1SIMG19$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B2SIMG18$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTCTRL/B2SIMG20$ST$PresAlm$stVal,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC1$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC2$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC3$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC4$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC5$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC6$ST$Tr$general,0:복귀1:동작
E415_C6065_PTPROT/x81PTRC7$ST$Tr$general,0:복귀1:동작
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO1$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO2$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO3$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO4$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO5$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO6$stVal,0:정지1:운전
E415_C6065_PTCTRL/x81CGGIO10$ST$SPCSO7$stVal,0:정지1:운전
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind16$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind17$stVal,0:복귀1:동작
E415_C6065_PTPROT/BUSGGIO8$ST$Alm1$stVal,0:사선1:활선
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind24$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind25$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind26$stVal,0:복귀1:동작
E415_C6065_PTPROT/BUSGGIO8$ST$Alm5$stVal,0:사선1:활선
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind27$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind28$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind29$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind54$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind53$stVal,0:복귀1:동작
E415_C6065_PTPROT/RDRE1$ST$RcdMade$stVal,0:복귀1:동작
E415_C6065_PTCTRL/GOSFGGIO11$ST$Ind1$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind59$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind64$stVal,0:동작1:해제
E415_C6065_PTCTRL/LLN0$ST$Loc$stVal,0:복귀1:동작
E415_C6065_PTCTRL/VSTSGGIO6$ST$Ind30$stVal,0:복귀1:동작
